Region,PlotID,year,mean,Field1,Field2,Field3,Field4
1,23,1996,0.0,,,,
1,23,1997,0.0,,,,
1,23,1998,0.6,,,,
1,23,1999,1.2,,,,
1,23,2000,0.0,,,,
1,23,2010,1.2,,,,
1,23,2011,9.6,,,,
1,23,2012,0.0,,,,
1,23,2013,0.2,,,,
1,23,2014,0.0,,,,
1,23,2015,0.0,,,,
1,23,2016,0.0,,,,
1,23,2017,0.0,,,,
1,24,1980,0.0,,,,
1,24,1981,0.2,,,,
1,24,1982,0.2,,,,
1,24,1983,0.0,,,,
1,24,1984,0.0,,,,
1,24,1985,0.0,,,,
1,24,1986,0.0,,,,
1,24,1987,0.0,,,,
1,24,1988,0.0,,,,
1,24,1989,0.0,,,,
1,24,1990,0.4,,,,
1,24,1991,0.0,,,,
1,24,1992,0.0,,,,
1,24,1993,0.0,,,,
1,24,1994,0.0,,,,
1,24,1995,0.0,,,,
1,24,1996,0.0,,,,
1,24,1997,0.0,,,,
1,24,1998,3.4,,,,
1,24,1999,2.8000000000000003,,,,
1,24,2000,0.0,,,,
1,24,2010,8.6,,,,
1,24,2011,41.8,,,,
1,24,2012,0.0,,,,
1,24,2013,0.0,,,,
1,24,2014,0.0,,,,
1,24,2015,0.0,,,,
1,24,2016,0.0,,,,
1,24,2017,0.0,,,,
1,25,1980,0.0,,,,
1,25,1981,2.8000000000000003,,,,
1,25,1982,13.200000000000001,,,,
1,25,1983,14.0,,,,
1,25,1984,2.0,,,,
1,25,1985,0.6,,,,
1,25,1986,2.4,,,,
1,25,1987,0.0,,,,
1,25,1988,0.0,,,,
1,25,1989,0.0,,,,
1,25,1990,0.4,,,,
1,25,1991,1.6,,,,
1,25,1992,0.6,,,,
1,25,1993,0.0,,,,
1,25,1994,0.0,,,,
1,25,1995,0.0,,,,
1,25,1996,0.0,,,,
1,25,1997,0.0,,,,
1,25,1998,0.0,,,,
1,25,1999,0.0,,,,
1,25,2000,0.0,,,,
1,25,2010,1.6,,,,
1,25,2011,4.6,,,,
1,25,2012,0.0,,,,
1,25,2013,0.0,,,,
1,25,2014,0.0,,,,
1,25,2015,0.0,,,,
1,25,2016,0.0,,,,
1,25,2017,0.0,,,,
1,26,1980,0.0,,,,
1,26,1981,2.8000000000000003,,,,
1,26,1982,0.0,,,,
1,26,1983,0.0,,,,
