"Latitude","Longitude"
44.59167,-117.74167
45.50167,-117.605
45.435,-117.47
45.17,-116.83833
45.515,-116.76194
45.42833,-116.695
45.08667,-116.87167
45.33284,-118.54118
45.19431,-118.33631
45.16022,-118.05606
44.97162,-117.05314
44.98635,-117.11372
44.98523,-117.31368
45.01512,-117.09313
45.49067,-117.72119
45.29447,-117.69919
45.15333,-117.6665
45.42786,-118.16547
44.97606,-117.53683
44.38417,-118.29695
44.25833,-118.125
44.625,-118.25
44.54167,-118.33333
45.25,-116.96667
45.275,-117.14167
45.79167,-117.08333
45.69167,-117.19167
45.625,-117.25
45.7564,-117.4436
45.75,-117.30833
47.8625,-120.22083
47.85796,-120.18366
47.30833,-120.725
47.36667,-120.8
47.03611,-120.95694
47.18333,-120.6
47.24528,-120.4375
47.77806,-120.35944
47.77889,-120.66944
47.79056,-120.79139
47.53167,-120.56833
47.32667,-120.41333
47.60333,-120.54667
47.68,-120.57333
47.6,-120.80833
46.79028,-121.05861
46.96056,-121.02694
46.60333,-121.33028
46.73203,-120.91884
42.95953,-121.39833
42.4225,-121.63306
42.61222,-121.82306
42.62471,-121.78948
42.64194,-121.93333
42.64278,-122.07917
42.54639,-122.10583
48.80583,-117.58014
48.24028,-117.54667
48.67472,-117.77778
48.50013,-118.3204
48.73871,-118.18211
48.23108,-117.38091
48.30125,-117.41168
48.26944,-117.1
48.35833,-117.14167
48.51419,-117.47665
48.54167,-118.77083
48.575,-118.625
48.75833,-118.5125
48.91,-117.3748
48.04093,-118.44254
48.06964,-118.54639
48.13453,-118.42175
48.22836,-118.51522
48.31389,-118.3957
48.41881,-118.25933
48.34959,-118.4589
48.46206,-118.48738
47.99155,-118.56574
47.92227,-118.46033
48.45014,-118.85997
48.35922,-118.88789
48.38431,-118.99175
48.4685,-119.08236
48.41361,-119.16456
48.07147,-118.79486
48.24756,-119.14069
48.24172,-119.02872
48.47014,-119.34786
48.17928,-119.24331
48.0178,-118.78411
48.06528,-118.58444
48.07986,-118.07986
48.15722,-118.69944
48.20016,-118.75833
48.3425,-118.60917
48.41833,-118.65278
48.32667,-118.77639
46.00492,-120.56111
46.01254,-120.93975
46.09586,-120.79029
46.2802,-121.11538
46.21165,-121.2921
46.29478,-121.36401
46.35196,-121.21668
46.41073,-121.09323
46.1076,-120.91585
46.1502,-120.9336
46.22471,-121.03097
46.06396,-121.08936
46.1464,-121.18287
46.1487,-121.30678
46.31629,-121.17414
46.35936,-121.0674
45.21977,-119.34128
45.22241,-119.2195
44.9717,-120.05783
45.00242,-119.76016
45.00215,-119.69812
45.01625,-119.65727
45.06125,-119.13354
44.92723,-120.14267
44.94352,-119.99967
44.98683,-119.8999
44.9437,-119.91974
44.5995,-119.3997
44.32673,-118.96155
44.67402,-119.92909
44.64487,-119.9498
44.44076,-119.84733
44.31238,-118.55631
44.21259,-119.16753
44.22618,-118.8613
44.69936,-119.1346
44.35574,-118.71802
42.78315,-121.35948
42.608,-121.04605
42.56431,-121.00689
42.47631,-120.75459
42.44719,-120.7167
42.34561,-120.73611
42.26439,-122.11934
42.23527,-121.98264
42.27437,-121.04772
42.28941,-120.67437
42.17837,-122.47371
42.17735,-121.94356
42.13348,-121.98264
42.10489,-122.27977
42.10505,-122.13944
42.0902,-121.9623
42.03145,-121.94312
42.24382,-120.28697
42.78464,-121.92723
42.79919,-121.88788
42.77011,-121.84852
42.7411,-121.9075
42.33252,-121.32155
42.7072,-120.73163
42.31831,-121.32122
42.30861,-121.7663
42.30191,-120.58075
42.07143,-121.31962
45.43487,-117.88076
45.52193,-117.75659
45.8144,-117.73721
45.74191,-117.71641
45.77081,-117.67504
45.79978,-117.65454
45.71288,-117.65422
45.77145,-117.57475
45.72859,-117.51185
45.60917,-117.96306
45.62378,-117.96305
45.73992,-117.88026
45.74177,-117.6542
45.74259,-117.55373
45.68489,-117.34291
45.682,-117.92181
45.73949,-117.81902
45.74,-117.85973
45.44948,-117.79882
45.82882,-117.65456
45.78544,-117.69573
45.78678,-117.51224
45.68355,-117.65439
45.65547,-117.38607
45.68476,-117.28096
45.20188,-117.71486
45.53674,-118.40414
45.40548,-118.10678
45.17302,-117.69442
45.2166,-118.0653
45.5224,-118.46636
45.12949,-118.02486
45.08664,-117.69375
44.58048,-117.79916
45.43576,-118.38043
45.34819,-118.37679
45.44951,-117.75782
45.02855,-118.08522
45.04831,-118.93058
45.34784,-118.16881
45.53691,-118.4663
45.61145,-117.34398
45.69838,-117.61443
45.5965,-117.53245
45.37441,-117.32248
44.92786,-117.21556
44.94253,-117.01232
45.27152,-117.07381
45.84406,-117.57499
45.47843,-118.04543
45.82973,-117.55416
44.64435,-119.70524
44.44044,-119.66376
44.19887,-120.21617
44.2567,-119.58313
44.42623,-119.82665
42.26528,-123.43531
42.52748,-123.23935
42.57184,-123.53428
42.60101,-123.45536
42.73075,-122.96395
42.70136,-122.80551
42.3536,-123.16083
42.19318,-123.14275
42.58471,-122.61005
42.38207,-123.0035
42.5569,-123.18071
42.60016,-122.96488
42.22182,-123.06296
42.10569,-122.53292
42.49859,-123.37684
45.57025,-121.7004
45.52759,-121.74406
45.52724,-121.64093
45.61335,-121.67978
45.54166,-121.51592
45.61365,-121.45142
45.67087,-121.6377
45.65643,-121.6379
45.59913,-121.5773
45.5851,-121.59954
45.55619,-121.68047
45.46819,-121.61678
45.52673,-121.451
45.57066,-121.47199
45.55625,-121.49418
44.57016,-120.57581
44.48351,-120.81684
44.52708,-120.33644
45.36738,-121.34868
44.26818,-120.45632
44.28257,-120.45621
